Setor,Data Aquisição,Tipo Equipamento,Valor,Garantia
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,50,NÃO
,09/11/2018,CONSOLE-PAINEL COMANDO,"111436,29",NÃO
CLINICA MEDICA,11/11/2011,ESFIGMOMANOMETRO ANEROIDE,0,NÃO
CLINICA MEDICA,11/11/2011,ESFIGMOMANOMETRO ANEROIDE,0,NÃO
UTI PEDIATRICA,11/11/2011,UMIDIFICADOR AQUECEDOR,0,NÃO
AMBULATÓRIO GINECOLOGIA E OBSTETRÍCIA,05/05/2013,MONITOR VIDEO,0,NÃO
AMBULATÓRIO GENECOLOGIA E OBSTETRÍCIA,11/11/2011,NOBREAK,0,NÃO
ENDOSCOPIA - TORRE 1,11/11/2011,NOBREAK,0,NÃO
ELETROENCEFALOGRAFIA,14/01/2022,MONITOR EEG,17711,NÃO
PRONTO SOCORRO,10/02/2022,MONITOR MULTIPARAMETRICO,21600,NÃO
PRONTO SOCORRO,10/02/2022,MONITOR MULTIPARAMETRICO,21600,NÃO
PRONTO SOCORRO,10/02/2022,MONITOR MULTIPARAMETRICO,21600,NÃO
PRONTO SOCORRO,10/02/2022,MONITOR MULTIPARAMETRICO,21600,NÃO
PRONTO SOCORRO,10/02/2022,MONITOR MULTIPARAMETRICO,21600,NÃO
PRONTO SOCORRO,10/02/2022,MONITOR MULTIPARAMETRICO,21600,NÃO
PRONTO SOCORRO,10/02/2022,MONITOR MULTIPARAMETRICO,21600,NÃO
PRONTO SOCORRO,10/02/2022,MONITOR MULTIPARAMETRICO,21600,NÃO
PRONTO SOCORRO,10/02/2022,MONITOR MULTIPARAMETRICO,21600,NÃO
PRONTO SOCORRO,10/02/2022,MONITOR MULTIPARAMETRICO,21600,NÃO
BLOCO DA MEDICINA NUCLEAR,01/09/2022,FREEZER LAB U B T VERTICAL,"30979,5",NÃO
BLOCO DA MEDICINA NUCLEAR,01/09/2022,FREEZER LAB U B T VERTICAL,"30979,5",NÃO
NEFROLOGIA,29/12/2022,POLTRONA DIALISE/DOADOR,9181,SIM
NEFROLOGIA,29/12/2022,POLTRONA DIALISE/DOADOR,9181,SIM
AGENCIA TRANSFUSIONAL,03/01/2023,BANHO MARIA LABORATORIAL,1800,SIM
QUIMIOTERAPIA,27/02/2023,BALANCA PACIENTE PLATAFORMA ELETRONICA,"910,02",SIM
INTERNAÇÃO ONCOLOGIA - 3º ANDAR,27/02/2023,BALANCA PACIENTE PLATAFORMA ELETRONICA,"910,02",SIM
AMBULATORIO DE ONCOLOGIA - TÉRREO,27/02/2023,BALANCA PACIENTE PLATAFORMA ELETRONICA,"910,02",SIM
UNIDADE DE ONCOLOGIA,27/02/2023,BALANCA PACIENTE PLATAFORMA ELETRONICA,"910,02",SIM
UNIDADE DE ONCOLOGIA,23/02/2023,BALANCA PACIENTE PLATAFORMA ELETRONICA,910,SIM
UNIDADE DE ONCOLOGIA,23/02/2023,BALANCA PACIENTE PLATAFORMA ELETRONICA,910,SIM
AGENCIA TRANSFUSIONAL,03/02/2023,NEGATOSCOPIO,"696,67",SIM
PRONTO SOCORRO GINECOLOGIA,15/11/2002,BALANCA PACIENTE INFANTIL,"661,26",NÃO
CENTRO CIRÚRGICO,11/11/2011,URETERORENOSCOPIO,0,NÃO
ONCOLOGIA,15/06/2008,BALANCA PACIENTE PLATAFORMA ELETRONICA,0,NÃO
CENTRO CIRURGICO,14/01/1998,MONITOR VIDEO,0,NÃO
AMBULATORIO CENTRAL,28/09/2010,LAMPADA FENDA,27778,NÃO
SERVICO DE ATENCAO DOMICILIAR,16/12/2010,OXIMETRO PULSO,1584,NÃO
SERVICO DE ATENCAO DOMICILIAR,16/12/2010,OXIMETRO PULSO,1584,NÃO
CENTRO CIRURGICO,25/10/2011,PROFILAXIA DENTAL,"2323,8",NÃO
SERVIÇO DE ATENÇÃO DOMICILIAR,28/02/2012,MEDIDOR PRESSAO VIAS AEREAS,1568,NÃO
MATERIAIS E ESTERILIZACAO,19/03/2012,LEITOR CODIGO BARRAS,"1119,6",NÃO
MATERIAIS E ESTERILIZAÇÃO,18/04/2012,LEITOR CODIGO BARRAS,"1119,6",NÃO
MATERIAIS E ESTERILIZACAO,18/04/2012,LEITOR CODIGO BARRAS,"1119,6",NÃO
MATERIAIS E ESTERILIZACAO,19/03/2012,LEITOR CODIGO BARRAS,"1119,6",NÃO
ENDOSCOPIA,13/06/2012,GRAVADOR ELETRONICO PH,"4546,33",NÃO
ENDOSCOPIA,13/06/2012,GRAVADOR ELETRONICO PH,"4546,33",NÃO
FARMÁCIA ONCOLOGIA,21/06/2012,REFRIGERADOR FARMACIA VERTICAL,17188,NÃO
UNIDADE DE TERAPIA INTENSIVA CORONARIANA,12/07/2012,SELADOR PACOTE,"882,7",NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,03/11/2012,HOMOGENEIZADOR,1150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,03/11/2012,INCUBADORA,4947,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,03/11/2012,INCUBADORA,4947,NÃO
AMBULATÓRIO GINECOLOGIA E OBSTETRÍCIA,28/08/2012,DETECTOR FETAL US CORACAO,650,NÃO
FARMÁCIA ONCOLOGIA,01/10/2007,SELADOR PACOTE,600,NÃO
FARMÁCIA - UTI ADULTO,03/10/2007,SELADOR PACOTE,600,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,22/10/2007,ESPECTROFOTOMETRO,4600,NÃO
UNIDADE DE LABORATORIO DE ANÁLISES CLINICAS,07/12/2007,FREEZER LAB MULTIUSO VERTICAL,16558,NÃO
CENTRO CIRÚRGICO,13/05/2012,MESA CIRURGICA,32000,NÃO
CENTRO CIRÚRGICO,13/05/2012,MESA CIRURGICA,32000,NÃO
CENTRO CIRÚRGICO,13/05/2012,MESA CIRURGICA,32000,NÃO
CENTRO CIRURGICO,13/05/2012,MESA CIRURGICA,32000,NÃO
BANCO DE OLHOS,09/05/2008,CENTRIFUGA B B V REFRIGERADA,16800,NÃO
HEMODINAMICA,30/01/2009,ANA LAB HEM COAGULACAO,4100,NÃO
AMBULATÓRIO CENTRAL,11/11/2011,SENSOR OXIMETRO PULSO,0,NÃO
AMBULATORIO TRAUMATOLOGIA,28/08/2009,SERRA GESSO ELETRICA,1035,NÃO
BIOENGENHARIA,11/11/2011,ESFIGMOMANOMETRO AUTOMATICO ELETRONICO,0,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,19/04/2010,BANHO FLUTUACAO TECIDO,958,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,22/04/2010,BANHO FLUTUACAO TECIDO,958,NÃO
AMBULATORIO CENTRAL,21/03/2013,OTO-OFTALMOSCOPIO,2186,NÃO
AMBULATORIO CENTRAL,21/03/2013,OTO-OFTALMOSCOPIO,2186,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,03/09/2013,LEITOR CODIGO BARRAS,"418,7",NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,27/06/2014,LEITOR CODIGO BARRAS,382,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,27/06/2014,LEITOR CODIGO BARRAS,382,NÃO
FONOAUDIOLOGIA,11/11/2011,OFTALMOSCOPIO,0,NÃO
SETOR DE NEFROLOGIA,24/10/2014,POLTRONA DIALISE/DOADOR,"8956,45",NÃO
NEFROLOGIA,24/10/2014,POLTRONA DIALISE/DOADOR,"8956,45",NÃO
UNIDADE DE TERAPIA INTENSIVA CORONARIANA,17/03/2015,BALANCA ELETRONICA,80,NÃO
AMBULATORIO CENTRAL,03/11/2021,INTERFACE DADOS,4200,NÃO
FONOAUDIOLOGIA,11/11/2011,OFTALMOSCOPIO,0,NÃO
FONOAUDIOLOGIA,11/11/2011,OFTALMOSCOPIO,0,NÃO
FONOAUDIOLOGIA,11/11/2011,OFTALMOSCOPIO,0,NÃO
SETOR DE FARMÁCIA CLÍNICA - FARMÁCIA CENTRAL,09/06/2015,SELADOR PACOTE,1250,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,20/02/2017,DISPENSADOR PARAFINA,3220,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,12/07/2017,LEITOR CODIGO BARRAS,300,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,12/07/2017,LEITOR CODIGO BARRAS,300,NÃO
UNIDADE DE LABORATÓRIO DE ANÁLISES CLÍNICAS,12/07/2017,LEITOR CODIGO BARRAS,300,NÃO
UNIDADE DE LABORATÓRIO DE ANÁLISES CLÍNICAS,29/06/2017,LEITOR CODIGO BARRAS,300,NÃO
LACTARIO,26/10/2017,BOMBA ORDENHA,"14366,86",NÃO
AMBULATORIO GINECOLOGIA E OBSTETRICIA,25/01/2018,DETECTOR FETAL US CORACAO,1100,NÃO
CENTRO OBSTETRICO,06/02/2018,DETECTOR FETAL US CORACAO,768,NÃO
FARMÁCIA DA ONCOLOGIA,19/06/2018,SELADOR PACOTE,1150,NÃO
AMBULATORIO CENTRAL,10/08/2018,BALANCA ELETRONICA PRECISAO,262560,NÃO
FARMÁCIA ONCOLOGIA,25/09/2018,REFRIGERADOR FARMACIA VERTICAL,18650,NÃO
SERVICO DE ATENCAO DOMICILIAR,24/09/2018,OXIMETRO PULSO,1285,NÃO
AMBULATÓRIO CENTRAL,13/09/2018,FOTOTERAPIA UV,14700,NÃO
AMBULATÓRIO GENECOLOGIA E OBSTETRÍCIA,14/12/2018,FOCO CLINICO,3920,NÃO
AMBULATORIO GINECOLOGIA E OBSTETRICIA,14/12/2018,FOCO CLINICO,3920,NÃO
AMBULATORIO GINECOLOGIA E OBSTETRICIA,14/12/2018,FOCO CLINICO,392000,NÃO
AMBULATORIO GINECOLOGIA E OBSTETRICIA,14/12/2018,FOCO CLINICO,392000,NÃO
AMBULATORIO GINECOLOGIA E OBSTETRICIA,14/12/2018,FOCO CLINICO,392000,NÃO
AMBULATORIO GINECOLOGIA E OBSTETRICIA,14/12/2018,FOCO CLINICO,392000,NÃO
AMBULATORIO GINECOLOGIA E OBSTETRICIA,14/12/2018,FOCO CLINICO,392000,NÃO
AMBULATORIO GINECOLOGIA E OBSTETRICIA,14/12/2018,FOCO CLINICO,3920,NÃO
AMBULATÓRIO GENECOLOGIA E OBSTETRÍCIA,14/12/2018,FOCO CLINICO,0,NÃO
AMBULATÓRIO GINECOLOGIA E OBSTETRÍCIA,24/05/2017,DETECTOR FETAL US CORACAO,"718,2",NÃO
AMBULATÓRIO GINECOLOGIA E OBSTETRÍCIA,08/09/2017,DETECTOR FETAL US CORACAO,"1544,4",NÃO
UNIDADE DE ANATOMIA PATOLOGICA,07/05/2019,BANHO FLUTUACAO TECIDO,1150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,03/11/2021,PANELA PRESSAO,12100,NÃO
FÁRMACIA ONCOLOGIA,30/12/2020,SELADOR PACOTE,1430,NÃO
FARMÁCIA - UTI ADULTO,03/11/2021,SELADOR PACOTE,1430,NÃO
AMBULATORIO CENTRAL,13/01/2021,INTERFACE DADOS,4525,NÃO
AMBULATORIO CENTRAL,13/01/2021,INTERFACE DADOS,4525,NÃO
PRONTO SOCORRO,04/11/2003,MONITOR MULTIPARAMETRICO,"16677,27",NÃO
CENTRO CIRÚRGICO,04/10/2019,PECA MAO CIRURGICA,86200,NÃO
UTI PEDIATRICA,22/03/2007,FOCO CLINICO,303,NÃO
AMBULATÓRIO DE GINECOLOGIA OBSTETRÍCIA,11/11/2011,ESFIGMOMANOMETRO ANEROIDE,0,NÃO
ENDOSCOPIA - TORRE 2,11/11/2011,NOBREAK,0,NÃO
CENTRO CIRURGICO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,02/07/2003,BALANCA PACIENTE INFANTIL,"7570,29",NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,27/01/1998,AGITADOR LAB,384,NÃO
FONOAUDIOLOGIA - SALA 12,11/11/2011,CADEIRA EXAME-TRATAMENTO,0,NÃO
CENTRO OBSTETRICO,03/07/2002,FOCO CIRURGICO,"10793,79",NÃO
NEFROLOGIA,22/08/2022,ESFIGMOMANOMETRO AUTOMATICO OSCILOMETRICO,1412,NÃO
CENTRO CIRURGICO,11/11/2011,FIBROSCOPIO INTUBACAO,0,NÃO
ECOCARDIOGRAFIA,31/07/2008,IMPRESSORA VIDEO,"2632,15",NÃO
LABORATÓRIO DE PATOLOGIA,17/12/2008,MICROSCOPIO LAB,41000,NÃO
TRANSPLANTES,26/07/2009,UNI HEMODIALISE,51000,NÃO
TRANSPLANTES,26/07/2009,UNI HEMODIALISE,51000,NÃO
UTI ADULTO,31/12/2006,FONTE LUZ,500,NÃO
UTI ADULTO,31/12/2006,FONTE LUZ,500,NÃO
PRONTO SOCORRO,25/01/2007,ELETROCARDIOGRAFO,2790,NÃO
UTI ADULTO,01/11/2010,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI NEO,04/09/1997,UMIDIFICADOR AQUECEDOR,1618,NÃO
UNIDADE DE TERAPIA INTENSIVA GERAL,31/12/1899,MOD PRESSAO INVASIVA,0,NÃO
NEFROLOGIA,14/01/2010,UNI HEMODIALISE,53300,NÃO
CARDIOLOGIA,11/03/2010,ELETROCARDIOGRAFO,2496,NÃO
CARDIOLOGIA,11/03/2010,ELETROCARDIOGRAFO,2496,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,10/02/2011,MICROSCOPIO LAB,4050,NÃO
AMBULATORIO CENTRAL,17/08/2010,BALANCA PACIENTE PLATAFORMA ELETRONICA,905,NÃO
ENFERMARIA DE PEDIATRIA,17/08/2010,MONITOR MULTIPARAMETRICO,2750,NÃO
UTI ADULTO,14/10/2010,DESFIBRILADOR-CARDIOVERSOR,24800,NÃO
NEFROLOGIA,11/11/2011,ESFIGMOMANOMETRO ANEROIDE,60,NÃO
ENFERMARIA DA PEDIATRIA,30/06/2008,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI ADULTO,30/06/2008,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA ADULTO,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
AGENCIA TRANSFUSIONAL,01/03/2016,LEITOR CODIGO BARRAS,0,NÃO
AGENCIA TRANSFUSIONAL,26/11/2013,LEITOR CODIGO BARRAS,0,NÃO
MATERIAIS E ESTERILIZAÇÃO,11/11/2011,SELADOR PACOTE,5000,NÃO
PRONTO SOCORRO,15/07/2008,ESFIGMOMANOMETRO ANEROIDE,1900,NÃO
UNIDADE DE TERAPIA INTENSIVA GERAL,30/06/2008,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI ADULTO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
ENFERMARIA DE PEDIATRIA,30/06/2008,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI ADULTO,09/11/2011,BALANCA PACIENTE INFANTIL,612,NÃO
NEFROLOGIA,15/12/2011,UNI HEMODIALISE,54900,NÃO
NEFROLOGIA,15/12/2011,UNI HEMODIALISE,54900,NÃO
NEFROLOGIA,15/12/2011,UNI HEMODIALISE,54900,NÃO
NEFROLOGIA,15/12/2011,UNI HEMODIALISE,54900,NÃO
NEFROLOGIA,22/12/2011,UNI HEMODIALISE,54900,NÃO
NEFROLOGIA,22/12/2011,UNI HEMODIALISE,54900,NÃO
NEFROLOGIA,22/12/2011,UNI HEMODIALISE,54900,NÃO
NEFROLOGIA,29/12/1899,OXIMETRO PULSO,0,NÃO
CENTRO CIRÚRGICO,28/03/2012,MESA CIRURGICA,32000,NÃO
UTI ADULTO,14/05/2012,VENTILADOR UTI,30760,NÃO
UNIDADE DE TERAPIA INTENSIVA ADULTO,24/04/2012,VENTILADOR UTI,30760,NÃO
PRONTO SOCORRO DE GINECOLOGIA,03/09/2012,ULTRASSOM,56750,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,13/09/2012,BERCO AQUECIDO,11249,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,21/02/2013,MICROSCOPIO LAB,3150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,21/02/2013,MICROSCOPIO LAB,3150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,21/02/2013,MICROSCOPIO LAB,3150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,21/02/2013,MICROSCOPIO LAB,3150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,21/02/2013,MICROSCOPIO LAB,3150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,21/02/2013,MICROSCOPIO LAB,3150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,21/02/2013,MICROSCOPIO LAB,3150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,21/02/2013,MICROSCOPIO LAB,3150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,21/02/2013,MICROSCOPIO LAB,3150,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,21/02/2013,MICROSCOPIO LAB,3150,NÃO
CENTRO OBSTÉTRICO,13/11/2013,CAMA ELETRICA,8690,NÃO
CIRÚRGICA 2,13/11/2013,CAMA ELETRICA,8690,NÃO
AMBULATÓRIO CENTRAL,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
MARCA-PASSO,11/11/2011,MONITOR MULTIPARAMETRICO,0,NÃO
AMBULATORIO CENTRAL,01/04/2013,LARINGOESTROBOSCOPIO,39999,NÃO
GERENCIA DE PRONTO SOCORRO,27/12/2012,CAMA ELETRICA,8690,NÃO
SALA 1 DA POLISSONOGRAFIA,27/12/2012,CAMA ELETRICA,8690,NÃO
CIRURGICA 2,27/12/2012,CAMA ELETRICA,8690,NÃO
CIRURGICA 2,26/12/2012,CAMA ELETRICA,8690,NÃO
GERÊNCIA DE PRONTO SOCORRO,27/12/2012,CAMA ELETRICA,8690,NÃO
UTI ADULTO,14/03/2013,FOCO CIRURGICO,12100,NÃO
CENTRO CIRÚRGICO,14/03/2013,FOCO CIRURGICO,12100,NÃO
CENTRO OBSTETRICO,14/03/2013,FOCO CIRURGICO,12100,NÃO
AMBULATORIO TRAUMATOLOGIA,01/12/2012,IMPRESSORA GRAFICA,60000,NÃO
CENTRO OBSTÉTRICO,08/03/2012,REANIMADOR PULMONAR PNEUMATICO,"1598,6",NÃO
ELETROENCEFALOGRAFIA,31/03/2013,MONITOR EEG,28200,NÃO
ELETROENCEFALOGRAFIA,31/03/2013,MONITOR EEG,28200,NÃO
RADIOLOGIA,24/05/2012,SINCRONIZADOR UNI RADIOGRAFICA,0,NÃO
UNIDADE DE TERAPIA INTENSIVA ADULTO,30/12/2010,MOD PRESSAO INVASIVA,0,NÃO
AMBULATÓRIO CENTRAL,07/05/2013,FONTE LUZ FIBRA OPTICA,"102146,06",NÃO
LABORATÓRIO DE PATOLOGIA,01/01/2020,PIPETA,6000,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,04/03/2003,BALANCA PACIENTE INFANTIL,"7570,29",NÃO
CENTRO CIRURGICO,11/11/2011,MOD PRESSAO INVASIVA,0,NÃO
CENTRO CIRURGICO,30/12/2000,MOD PRESSAO INVASIVA,0,NÃO
UNIDADE DE TERAPIA INTENSIVA GERAL,26/12/2012,CAMA ELETRICA,8690,NÃO
CIRURGICA 02,26/12/2012,CAMA ELETRICA,8690,NÃO
CIRÚRGICA 2,26/12/2012,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
MATERNIDADE,26/12/2012,CAMA ELETRICA,8690,NÃO
CLINICA MÉDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
PRONTO SOCORRO,26/12/2012,CAMA ELETRICA,8690,NÃO
SETOR DE PRONTO SOCORRO DE GINECOLOGIA E OBSTETRÍCIA,21/05/2013,CAMA ELETRICA,8690,NÃO
GERENCIA DE PRONTO SOCORRO,27/12/2012,CAMA ELETRICA,8690,NÃO
PSIQUIATRIA,27/12/2012,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLÍNICA MÉDICA,13/11/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE TERAPIA INTENSIVA GERAL,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRICA,01/11/2010,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRICA,01/11/2010,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI ADULTO,11/11/2011,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI ADULTO,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
ENFERMARIA DE PEDIATRIA,01/11/2010,UMIDIFICADOR AQUECEDOR,0,NÃO
ENFERMARIA DE PEDIATRIA,14/09/2014,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI PEDIATRICA,11/11/2011,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,15/08/2018,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRIA,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,15/08/2018,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA GERAL,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRIA,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI NEO,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,15/08/2018,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRIA,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,15/08/2018,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRICA,15/08/2018,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI ADULTO,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
MATERNIDADE,27/12/2012,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
MOLÉSTIAS INFECCIOSAS,21/05/2013,CAMA ELETRICA,8690,NÃO
PRONTO SOCORRO,21/05/2013,CAMA ELETRICA,8690,NÃO
CIRURGICA 05,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
PRONTO SOCORRO,21/05/2013,CAMA ELETRICA,8690,NÃO
PRONTO SOCORRO,27/12/2012,CAMA ELETRICA,8690,NÃO
UNIDADE DE TERAPIA INTENSIVA CORONARIANA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,28/12/2012,CAMA ELETRICA,8690,NÃO
CIRURGICA 01,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CIRURGICA 05,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CENTRO OBSTETRICO,03/06/2013,INCUBADORA RN TRANSPORTE,16500,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,03/06/2013,INCUBADORA RN TRANSPORTE,16500,NÃO
