Número de Série,Tipo Equipamento,Marca,Modelo,Sigla US,Órgão,Grupo,Localização,Data Aquisição,Valor,Próprio,Garantia,Parecer Desativação,Desativado,Baixado,Aprovado,Permitir O.S,Crítico
20120127669,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - ELETROMECANICA,CLINICA MEDICA,11/11/2011,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
18C0018,CONSOLE-PAINEL COMANDO,BIEN-AIR,OSSEODUO,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRÚRGICO,09/11/2018,"111436,29",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
110C08633,MOD CO2 EXALADO,DIXTAL,ETCO2,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
030I02721,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
120I11748,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120123616,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE CLÍNICA CIRÚRGICA,DEL - ELETROELETRONICA,CIRÚRGICA L,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
VGSNE2508,MONITOR MULTIPARAMETRICO,DRAGER,VISTA-120,HC,UNIDADE DE ONCOLOGIA,DEL - ELETROELETRONICA,UNIDADE DE ONCOLOGIA,26/02/2021,23400,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
030I02657,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
160I17079,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
1100384,CONSOLE-PAINEL COMANDO,BIEN-AIR,OSSEODUO,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,,09/11/2018,"111436,29",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
I020091221218,BLENDER,INTERMED,AIR O2-BLENDER,HC,UNIDADE DE TERAPIA INTENSIVA NEONATAL,DEL - ELETROELETRONICA,UTI NEO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
160I17003,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
4899915,ESFIGMOMANOMETRO ANEROIDE,WENZHOU KANGJU,BR-20-D,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - LAB. CALIBRAÇÃO,CLINICA MEDICA,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
12129015627,UMIDIFICADOR AQUECEDOR,FISHER PAYKEL,MR-810,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
I0000103727,BLENDER,INTERMED,AIR O2-BLENDER,HC,UNIDADE DE TERAPIA INTENSIVA NEONATAL,DEL - ELETROELETRONICA,UTI NEO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
189946,ESFIGMOMANOMETRO ANEROIDE,BIC,PRECISION,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - LAB. CALIBRAÇÃO,CLINICA MEDICA,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
100I10928,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UTI ADULTO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
17K0005,CONSOLE-PAINEL COMANDO,BIEN-AIR,OSSEODUO,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRÚRGICO,09/11/2018,"111436,29",NÃO,NÃO,NÃO,NÃO,NÃO,SIM,NÃO,NÃO
100I10361,MOD PRESSAO INVASIVA,DIXTAL,IBP,HC,UNIDADE DE TERAPIA INTENSIVA NEONATAL,DEL - ELETROELETRONICA,UTI NEO,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
4075105,ESFIGMOMANOMETRO ANEROIDE,WENZHOU KANGJU,BR-20-D,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - LAB. CALIBRAÇÃO,CLINICA MEDICA,15/02/2016,50,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
1600913,CONSOLE-PAINEL COMANDO,BIEN-AIR,OSSEODUO,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,,09/11/2018,"111436,29",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
207925,ESFIGMOMANOMETRO ANEROIDE,BIC,PRECISION,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - LAB. CALIBRAÇÃO,CLINICA MEDICA,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
7037772,ESFIGMOMANOMETRO ANEROIDE,WENZHOU KANGJU,BR-20-D,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - LAB. CALIBRAÇÃO,CLINICA MEDICA,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
11244014080,UMIDIFICADOR AQUECEDOR,FISHER PAYKEL,MR-810,HC,UNIDADE DA CRIANÇA E DO ADOLESCENTE,DEL - ELETROELETRONICA,UTI PEDIATRICA,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
T241CXA001521,MONITOR VIDEO,AOC,T-2442-E,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROELETRONICA,AMBULATÓRIO GINECOLOGIA E OBSTETRÍCIA  ,05/05/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
001075,NOBREAK,NHS,"PREMIUM PDV SENOIDAL-1,5 KVA",HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROELETRONICA,AMBULATÓRIO GENECOLOGIA E OBSTETRÍCIA,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
001070,NOBREAK,NHS,PRIME SENOIDAL-3000 VA,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 1,11/11/2011,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
259605121,MONITOR EEG,EMSA,64-SMART,HC,UNIDADE DE SISTEMA NEUROLÓGICO,DEL - ELETROELETRONICA,ELETROENCEFALOGRAFIA,14/01/2022,17711,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
CN12009998,MONITOR MULTIPARAMETRICO,PHILIPS,EFFICIA CM-100,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,10/02/2022,21600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
CN12009990,MONITOR MULTIPARAMETRICO,PHILIPS,EFFICIA CM-100,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,10/02/2022,21600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
CN12009995,MONITOR MULTIPARAMETRICO,PHILIPS,EFFICIA CM-100,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,10/02/2022,21600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
CN12009993,MONITOR MULTIPARAMETRICO,PHILIPS,EFFICIA CM-100,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,10/02/2022,21600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
CN12009991,MONITOR MULTIPARAMETRICO,PHILIPS,EFFICIA CM-100,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,10/02/2022,21600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
CN1200996,MONITOR MULTIPARAMETRICO,PHILIPS,EFFICIA CM-100,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,10/02/2022,21600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
CN12009999,MONITOR MULTIPARAMETRICO,PHILIPS,EFFICIA CM-100,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,10/02/2022,21600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
CN12009992,MONITOR MULTIPARAMETRICO,PHILIPS,EFFICIA CM-100,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,10/02/2022,21600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
CN12009997,MONITOR MULTIPARAMETRICO,PHILIPS,EFFICIA CM-100,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,10/02/2022,21600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
CN12009994,MONITOR MULTIPARAMETRICO,PHILIPS,EFFICIA CM-100,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,10/02/2022,21600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
132201178,FREEZER LAB U B T VERTICAL,ELBER,ULTFB-600,HC,UNIDADE DE GESTÃO DA PESQUISA,DEL - ELETROMECANICA,BLOCO DA MEDICINA NUCLEAR,01/09/2022,"30979,5",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
122201189,FREEZER LAB U B T VERTICAL,ELBER,ULTFB-600,HC,UNIDADE DE GESTÃO DA PESQUISA,DEL - ELETROMECANICA,BLOCO DA MEDICINA NUCLEAR,01/09/2022,"30979,5",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
00081972000001001,POLTRONA DIALISE/DOADOR,HOSPIMETAL,HM-2054-D,HC,UNIDADE DE SISTEMA URINÁRIO,DEL - ELETROMECANICA,NEFROLOGIA,29/12/2022,9181,SIM,SIM,NÃO,NÃO,NÃO,SIM,SIM,NÃO
00081972000001002,POLTRONA DIALISE/DOADOR,HOSPIMETAL,HM-2054-D,HC,UNIDADE DE SISTEMA URINÁRIO,DEL - ELETROMECANICA,NEFROLOGIA,29/12/2022,9181,SIM,SIM,NÃO,NÃO,NÃO,SIM,SIM,NÃO
221200732,BANHO MARIA LABORATORIAL,NOVATECNICA,NT-245,HC,UNIDADE DE HEMATOLOGIA E HEMOTERAPIA,DEL - ELETROELETRONICA,AGENCIA TRANSFUSIONAL,03/01/2023,1800,SIM,SIM,NÃO,NÃO,NÃO,SIM,SIM,NÃO
413891,BALANCA PACIENTE PLATAFORMA ELETRONICA,MARTE,LS-300,HC,UNIDADE DE ONCOLOGIA,DEL - ELETROELETRONICA,QUIMIOTERAPIA,27/02/2023,"910,02",SIM,SIM,NÃO,NÃO,NÃO,SIM,SIM,NÃO
413890,BALANCA PACIENTE PLATAFORMA ELETRONICA,MARTE,LS-300,HC,UNIDADE DE ONCOLOGIA,DEL - ELETROELETRONICA,INTERNAÇÃO ONCOLOGIA - 3º ANDAR,27/02/2023,"910,02",SIM,SIM,NÃO,NÃO,NÃO,SIM,SIM,NÃO
413893,BALANCA PACIENTE PLATAFORMA ELETRONICA,MARTE,LS-300,HC,UNIDADE DE ONCOLOGIA,DEL - ELETROELETRONICA,AMBULATORIO DE ONCOLOGIA - TÉRREO,27/02/2023,"910,02",SIM,SIM,NÃO,NÃO,NÃO,SIM,SIM,NÃO
413892,BALANCA PACIENTE PLATAFORMA ELETRONICA,MARTE,LS-300,HC,UNIDADE DE ONCOLOGIA,DEL - ELETROELETRONICA,UNIDADE DE ONCOLOGIA,27/02/2023,"910,02",SIM,SIM,NÃO,NÃO,NÃO,SIM,SIM,NÃO
407287,BALANCA PACIENTE PLATAFORMA ELETRONICA,MARTE,LS-300,HC,UNIDADE DE ONCOLOGIA,DEL - LAB. CALIBRAÇÃO,UNIDADE DE ONCOLOGIA,23/02/2023,910,SIM,SIM,NÃO,NÃO,NÃO,SIM,SIM,NÃO
407286,BALANCA PACIENTE PLATAFORMA ELETRONICA,MARTE,LS-300,HC,UNIDADE DE ONCOLOGIA,DEL - LAB. CALIBRAÇÃO,UNIDADE DE ONCOLOGIA,23/02/2023,910,SIM,SIM,NÃO,NÃO,NÃO,SIM,SIM,NÃO
,NEGATOSCOPIO,IMER,1 CORPO,HC,UNIDADE DE HEMATOLOGIA E HEMOTERAPIA,DEL - ELETROELETRONICA,AGENCIA TRANSFUSIONAL,03/02/2023,"696,67",SIM,SIM,NÃO,NÃO,NÃO,SIM,SIM,NÃO
610,BALANCA PACIENTE INFANTIL,C&F,P-15-B,HC,UNIDADE DE SAÚDE DA MULHER,DEL - LAB. CALIBRAÇÃO,PRONTO SOCORRO GINECOLOGIA,15/11/2002,"661,26",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
112205549,URETERORENOSCOPIO,ENDOMASTER,FLEX ONE,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRÚRGICO,11/11/2011,0,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
1484/01,BALANCA PACIENTE PLATAFORMA ELETRONICA,FILIZOLA,PERSONAL,HC,UNIDADE DE ONCOLOGIA,DEL - LAB. CALIBRAÇÃO,ONCOLOGIA,15/06/2008,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
6005029,MONITOR VIDEO,SONY,SSM-14-N-5-U,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRURGICO,14/01/1998,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
,LAMPADA FENDA,TOPCON,SL-3-G,HC,SETOR DE CONTRATUALIZAÇÃO E REGULAÇÃO,DEL - ELETROELETRONICA,AMBULATORIO CENTRAL,28/09/2010,27778,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
AY-09130941,OXIMETRO PULSO,MINDRAY,PM-50,HC,UNIDADE DE ATENÇÃO FAMILIAR E DOS CUIDADOS PALIATIVOS,DEL - ELETROELETRONICA,SERVICO DE ATENCAO DOMICILIAR,16/12/2010,1584,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
,OXIMETRO PULSO,MINDRAY,PM-50,HC,UNIDADE DE ATENÇÃO FAMILIAR E DOS CUIDADOS PALIATIVOS,DEL - ELETROELETRONICA,SERVICO DE ATENCAO DOMICILIAR,16/12/2010,1584,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
K000259,PROFILAXIA DENTAL,DABI ATLANTE,PROFI CLASS,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRURGICO,25/10/2011,"2323,8",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
1119839,MEDIDOR PRESSAO VIAS AEREAS,CELMAT ,VBM,HC,UNIDADE DE ATENÇÃO FAMILIAR E DOS CUIDADOS PALIATIVOS,DEL - LAB. CALIBRAÇÃO,SERVIÇO DE ATENÇÃO DOMICILIAR,28/02/2012,1568,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
1133800500633,LEITOR CODIGO BARRAS,SYMBOL,DS-6707,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,MATERIAIS E ESTERILIZACAO,19/03/2012,"1119,6",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
1133500506602,LEITOR CODIGO BARRAS,SYMBOL,DS-6707,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,MATERIAIS E ESTERILIZAÇÃO,18/04/2012,"1119,6",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
1133500506614,LEITOR CODIGO BARRAS,SYMBOL,DS-6707,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,MATERIAIS E ESTERILIZACAO,18/04/2012,"1119,6",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
1133500506618,LEITOR CODIGO BARRAS,SYMBOL,DS-6707,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,MATERIAIS E ESTERILIZACAO,19/03/2012,"1119,6",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
PH4A27305/12,GRAVADOR ELETRONICO PH,ALACER BIOMEDICA,AL-3,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,13/06/2012,"4546,33",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
PH4A27405/12,GRAVADOR ELETRONICO PH,ALACER BIOMEDICA,AL-3,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,13/06/2012,"4546,33",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
005729,REFRIGERADOR FARMACIA VERTICAL,BIOTECNO,BT-1100/560,HC,UNIDADE DE FARMÁCIA CLÍNICA E DISPENSAÇÃO FARMACÊUTICA,DEL - ELETROELETRONICA,FARMÁCIA ONCOLOGIA,21/06/2012,17188,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
,SELADOR PACOTE,FRAMAC,3000,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UNIDADE DE TERAPIA INTENSIVA CORONARIANA,12/07/2012,"882,7",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
09559,HOMOGENEIZADOR,PHOENIX,AP-22,HC,UNIDADE DE LABORATÓRIO DE ANÁLISES CLÍNICAS,DEL - ELETROELETRONICA,UNIDADE DE LABORATORIO DE ANALISES CLINICAS,03/11/2012,1150,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
,INCUBADORA,FANEM,502 4-C,HC,UNIDADE DE ANATOMIA PATOLÓGICA,DEL - ELETROELETRONICA,UNIDADE DE ANATOMIA PATOLOGICA,03/11/2012,4947,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
,INCUBADORA,FANEM,502 4-C,HC,UNIDADE DE ANATOMIA PATOLÓGICA,DEL - ELETROELETRONICA,UNIDADE DE ANATOMIA PATOLOGICA,03/11/2012,4947,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
BAABA0427,DETECTOR FETAL US CORACAO,BISTOS,BT-200,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROELETRONICA,AMBULATÓRIO GINECOLOGIA E OBSTETRÍCIA,28/08/2012,650,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
,SELADOR PACOTE,FRAMAC,3000,HC,UNIDADE DE FARMÁCIA CLÍNICA E DISPENSAÇÃO FARMACÊUTICA,DEL - ELETROELETRONICA,FARMÁCIA ONCOLOGIA,01/10/2007,600,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
